NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
6,11,6.088,1,1,6,a,0,jtdzsxkh2scccvw,Query,7,0
5,9,4.409,1,1,6,a,0,jtdzsxkh2scccvw,Query,8,0
6,11,5.559,1,1,6,a,0,jtdzsxkh2scccvw,Query,9,0
3,5,1.241,1,1,6,a,0,jtdzsxkh2scccvw,Query,10,0
1,1,0.576,1,1,6,a,0,jtdzsxkh2scccvw,Query,11,0
7,12,11.173,1,1,6,a,0,jtdzsxkh2scccvw,Query,12,0
4,7,4.189,1,1,6,a,0,jtdzsxkh2scccvw,Query,13,0
2,3,0.751,1,1,5,a,0,jtdzsxkh2scccvw,Query,14,0
2,3,0.207,1,1,5,a,0,jtdzsxkh2scccvw,Query,15,0
5,9,4.721,1,1,5,a,0,jtdzsxkh2scccvw,Query,16,0
4,7,3.288,1,1,5,a,0,jtdzsxkh2scccvw,Query,17,0
1,1,0.656,1,1,5,a,0,jtdzsxkh2scccvw,Query,18,0
4,7,2.083,1,1,5,a,0,jtdzsxkh2scccvw,Query,19,0
3,5,0.754,1,1,5,a,0,jtdzsxkh2scccvw,Query,20,0
4,7,2.272,1,1,5,a,0,jtdzsxkh2scccvw,Query,21,0
1,1,0.17,1,1,5,a,0,jtdzsxkh2scccvw,Query,22,0
7,11,11.557,1,1,5,a,0,jtdzsxkh2scccvw,Query,23,0
3,5,1.376,1,1,5,a,0,jtdzsxkh2scccvw,Query,24,0
1,1,0.64,1,1,5,a,0,jtdzsxkh2scccvw,Query,25,0
2,3,0.562,1,1,5,a,0,jtdzsxkh2scccvw,Query,26,0
5,9,4.528,1,1,4,a,0,jtdzsxkh2scccvw,Query,27,0
6,9,8.318,1,1,4,a,0,jtdzsxkh2scccvw,Query,28,0
4,7,3.149,1,1,4,a,0,jtdzsxkh2scccvw,Query,29,0
2,3,0.688,1,1,4,a,0,jtdzsxkh2scccvw,Query,30,0
7,10,9.424,1,0,4,a,0,jtdzsxkh2scccvw,Query,31,0
3,5,1.153,1,1,4,a,0,jtdzsxkh2scccvw,Query,32,0
2,3,0.647,1,1,4,a,0,jtdzsxkh2scccvw,Query,33,0
