NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,9,5.072,1,1,bhd,4r8fa9xh0zzco6o,Sequence,24
7,9,5.967,0,1,bhd,4r8fa9xh0zzco6o,Sequence,25
1,1,0.98,1,1,bhd,4r8fa9xh0zzco6o,Sequence,26
4,7,2.665,0.8,1,bhd,4r8fa9xh0zzco6o,Sequence,27
1,1,0.931,1,1,bhd,4r8fa9xh0zzco6o,Sequence,28
2,3,1.337,1,1,bhd,4r8fa9xh0zzco6o,Sequence,29
2,3,1.297,1,1,bhd,4r8fa9xh0zzco6o,Sequence,30
7,12,7.091,0.8,1,bhd,4r8fa9xh0zzco6o,Sequence,31
2,3,0.78,1,1,bhd,4r8fa9xh0zzco6o,Sequence,32
5,9,2.624,1,1,bhd,4r8fa9xh0zzco6o,Sequence,33
4,7,2.695,1,1,bhd,4r8fa9xh0zzco6o,Sequence,34
2,3,0.775,1,1,bhd,4r8fa9xh0zzco6o,Sequence,35
6,11,7.168,0.6,1,a,4r8fa9xh0zzco6o,None,1
5,9,5.471,0.8,1,a,4r8fa9xh0zzco6o,None,2
6,10,6.421,0.6,1,a,4r8fa9xh0zzco6o,None,3
2,3,1.068,1,1,a,4r8fa9xh0zzco6o,None,4
6,9,7.822,1,1,a,4r8fa9xh0zzco6o,None,5
3,5,2.918,0.6,1,a,4r8fa9xh0zzco6o,None,6
4,7,3.469,1,1,a,4r8fa9xh0zzco6o,None,7
4,7,2.307,0.4,1,a,4r8fa9xh0zzco6o,None,8
2,3,0.936,1,1,a,4r8fa9xh0zzco6o,None,9
1,1,0.838,1,1,a,4r8fa9xh0zzco6o,None,10
6,6,7.193,0,1,a,4r8fa9xh0zzco6o,None,11
2,3,0.711,1,1,a,4r8fa9xh0zzco6o,None,12
7,11,8.138,0.2,1,a,4r8fa9xh0zzco6o,None,13
4,7,2.109,1,1,a,4r8fa9xh0zzco6o,None,14
6,11,6.694,0.4,1,a,4r8fa9xh0zzco6o,None,15
7,13,7.517,1,1,a,4r8fa9xh0zzco6o,None,16
7,13,7.371,1,1,a,4r8fa9xh0zzco6o,None,17
3,5,1.588,1,1,a,4r8fa9xh0zzco6o,None,18
5,9,4.727,0.8,1,a,4r8fa9xh0zzco6o,None,19
2,3,0.849,0.8,1,a,4r8fa9xh0zzco6o,None,20
7,12,6.514,0.2,1,a,4r8fa9xh0zzco6o,None,21
1,1,0.741,1,1,a,4r8fa9xh0zzco6o,None,22
3,5,1.341,1,1,a,4r8fa9xh0zzco6o,None,23
5,9,3.14,1,1,a,4r8fa9xh0zzco6o,None,24
4,7,2.245,1,1,a,4r8fa9xh0zzco6o,None,25
5,9,2.781,1,1,a,4r8fa9xh0zzco6o,None,26
1,1,0.752,1,1,a,4r8fa9xh0zzco6o,None,27
2,3,0.687,1,1,a,4r8fa9xh0zzco6o,None,28
4,7,2.607,1,1,a,4r8fa9xh0zzco6o,None,29
7,13,4.996,0.8,1,a,4r8fa9xh0zzco6o,None,30
1,1,0.632,1,1,a,4r8fa9xh0zzco6o,None,31
1,1,0.595,1,1,a,4r8fa9xh0zzco6o,None,32
3,5,1.317,1,1,a,4r8fa9xh0zzco6o,None,33
5,9,4.471,0.8,1,a,4r8fa9xh0zzco6o,None,34
3,5,1.48,1,1,a,4r8fa9xh0zzco6o,None,35
3,5,2.906,0.85,1,a,a9tn75magy8nffy,Query,1
2,3,1.171,0.85,1,a,a9tn75magy8nffy,Query,2
3,5,1.256,1,1,a,a9tn75magy8nffy,Query,3
7,12,10.725,1,1,a,a9tn75magy8nffy,Query,4
6,11,6.569,0.55,1,a,a9tn75magy8nffy,Query,5
4,7,2.545,0.6,1,a,a9tn75magy8nffy,Query,6
2,3,0.738,0.85,1,a,a9tn75magy8nffy,Query,7
4,7,1.979,1,1,a,a9tn75magy8nffy,Query,8
1,1,0.546,1,1,a,a9tn75magy8nffy,Query,9
3,4,1.969,1,1,a,a9tn75magy8nffy,Query,10
5,5,3.621,0.25,1,a,a9tn75magy8nffy,Query,11
3,4,1.731,1,1,a,a9tn75magy8nffy,Query,12
5,6,3.358,1,1,a,a9tn75magy8nffy,Query,13
6,6,4.506,0.9,1,a,a9tn75magy8nffy,Query,14
1,1,0.487,1,1,a,a9tn75magy8nffy,Query,15
2,2,0.809,0.95,1,a,a9tn75magy8nffy,Query,16
3,3,1.507,0.9,1,a,a9tn75magy8nffy,Query,17
5,6,3.542,1,1,a,a9tn75magy8nffy,Query,18
7,8,5.072,0.9,1,a,a9tn75magy8nffy,Query,19
1,1,0.564,1,1,a,a9tn75magy8nffy,Query,20
6,6,5.825,1,0,a,a9tn75magy8nffy,Query,21
1,1,0.616,1,1,a,a9tn75magy8nffy,Query,22
7,7,5.571,0.5,1,a,a9tn75magy8nffy,Query,23
2,3,0.707,1,1,a,a9tn75magy8nffy,Query,24
4,5,2.313,0.95,1,a,a9tn75magy8nffy,Query,25
4,5,2.327,1,1,a,a9tn75magy8nffy,Query,26
7,8,7.818,0.95,1,a,a9tn75magy8nffy,Query,27
5,6,2.674,1,1,a,a9tn75magy8nffy,Query,28
7,8,10.143,0.95,1,a,a9tn75magy8nffy,Query,29
6,7,4.984,0.7,1,a,a9tn75magy8nffy,Query,30
2,3,0.753,0.95,1,a,a9tn75magy8nffy,Query,31
6,7,4.705,0.55,1,a,a9tn75magy8nffy,Query,32
5,5,3.67,1,1,a,a9tn75magy8nffy,Query,33
4,5,3.423,0.95,1,a,a9tn75magy8nffy,Query,34
1,1,0.489,1,1,a,a9tn75magy8nffy,Query,35
2,3,1.301,1,1,fjc,a9tn75magy8nffy,Sequence,1
7,12,7.11,0.55,1,fjc,a9tn75magy8nffy,Sequence,2
3,5,2.343,1,1,fjc,a9tn75magy8nffy,Sequence,3
6,11,4.966,0.3,1,fjc,a9tn75magy8nffy,Sequence,4
5,7,4.306,0.7,1,fjc,a9tn75magy8nffy,Sequence,5
7,8,9.274,0,1,fjc,a9tn75magy8nffy,Sequence,6
3,5,1.573,0.85,1,fjc,a9tn75magy8nffy,Sequence,7
5,9,2.964,0.85,1,fjc,a9tn75magy8nffy,Sequence,8
1,1,0.513,1,1,fjc,a9tn75magy8nffy,Sequence,9
5,8,4.091,0.75,1,fjc,a9tn75magy8nffy,Sequence,10
1,1,0.564,1,1,fjc,a9tn75magy8nffy,Sequence,11
6,9,3.449,0.95,1,fjc,a9tn75magy8nffy,Sequence,12
6,9,5.842,0.45,1,fjc,a9tn75magy8nffy,Sequence,13
4,7,2.339,0.5,1,fjc,a9tn75magy8nffy,Sequence,14
1,1,0.675,1,1,fjc,a9tn75magy8nffy,Sequence,15
3,5,1.481,1,1,fjc,a9tn75magy8nffy,Sequence,16
1,1,0.604,1,1,fjc,a9tn75magy8nffy,Sequence,17
2,3,0.748,1,1,fjc,a9tn75magy8nffy,Sequence,18
7,6,10.963,0,1,fjc,a9tn75magy8nffy,Sequence,19
3,5,0.799,0.75,1,fjc,a9tn75magy8nffy,Sequence,20
2,3,0.616,0.9,1,fjc,a9tn75magy8nffy,Sequence,21
6,11,7.345,0.4,1,fjc,a9tn75magy8nffy,Sequence,22
3,5,1.806,1,1,fjc,a9tn75magy8nffy,Sequence,23
6,11,5.076,0.3,1,fjc,a9tn75magy8nffy,Sequence,24
1,1,0.519,1,1,fjc,a9tn75magy8nffy,Sequence,25
4,7,1.658,0.7,1,fjc,a9tn75magy8nffy,Sequence,26
5,9,3.217,0.95,1,fjc,a9tn75magy8nffy,Sequence,27
4,7,3.299,0.95,1,fjc,a9tn75magy8nffy,Sequence,28
7,13,8.371,0.95,1,fjc,a9tn75magy8nffy,Sequence,29
4,7,2.332,0.35,1,fjc,a9tn75magy8nffy,Sequence,30
2,3,0.818,1,1,fjc,a9tn75magy8nffy,Sequence,31
7,13,5.681,0.9,1,fjc,a9tn75magy8nffy,Sequence,32
4,7,1.775,1,1,fjc,a9tn75magy8nffy,Sequence,33
2,3,1.033,1,1,fjc,a9tn75magy8nffy,Sequence,34
5,9,6.075,0.5,1,fjc,a9tn75magy8nffy,Sequence,35
3,5,2.178,0.9,1,a,a9tn75magy8nffy,None,1
4,7,3.001,0.85,1,a,a9tn75magy8nffy,None,2
3,5,1.931,0.7,1,a,a9tn75magy8nffy,None,3
7,12,6.04,0.1,1,a,a9tn75magy8nffy,None,4
7,12,8.6,0.65,1,a,a9tn75magy8nffy,None,5
1,1,0.653,1,1,a,a9tn75magy8nffy,None,6
5,9,4.154,1,1,a,a9tn75magy8nffy,None,7
6,9,4.618,0.95,1,a,a9tn75magy8nffy,None,8
