NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
7,11,7.091,0.5,1,bhd,4r8fa9xh0zzco6o,Sequence,31
2,3,0.78,1,1,bhd,4r8fa9xh0zzco6o,Sequence,32
5,5,2.624,0.3,1,bhd,4r8fa9xh0zzco6o,Sequence,33
4,5,2.695,0,1,bhd,4r8fa9xh0zzco6o,Sequence,34
2,3,0.775,0.9,1,bhd,4r8fa9xh0zzco6o,Sequence,35
6,11,7.168,0.4,1,a,4r8fa9xh0zzco6o,None,1
5,9,5.471,0.9,1,a,4r8fa9xh0zzco6o,None,2
6,10,6.421,0.3,1,a,4r8fa9xh0zzco6o,None,3
2,3,1.068,1,1,a,4r8fa9xh0zzco6o,None,4
6,9,7.822,1,1,a,4r8fa9xh0zzco6o,None,5
3,5,2.918,0.4,1,a,4r8fa9xh0zzco6o,None,6
4,6,3.469,0.5,1,a,4r8fa9xh0zzco6o,None,7
4,6,2.307,0.4,1,a,4r8fa9xh0zzco6o,None,8
2,3,0.936,1,1,a,4r8fa9xh0zzco6o,None,9
1,1,0.838,1,1,a,4r8fa9xh0zzco6o,None,10
6,9,7.193,0.95,1,a,4r8fa9xh0zzco6o,None,11
2,3,0.711,1,1,a,4r8fa9xh0zzco6o,None,12
7,9,8.138,0.2,1,a,4r8fa9xh0zzco6o,None,13
4,6,2.109,0.25,1,a,4r8fa9xh0zzco6o,None,14
6,7,6.694,0.3,1,a,4r8fa9xh0zzco6o,None,15
7,9,7.517,0.3,1,a,4r8fa9xh0zzco6o,None,16
7,9,7.371,0,1,a,4r8fa9xh0zzco6o,None,17
3,5,1.588,0.9,1,a,4r8fa9xh0zzco6o,None,18
5,9,4.727,0.45,1,a,4r8fa9xh0zzco6o,None,19
2,3,0.849,1,1,a,4r8fa9xh0zzco6o,None,20
7,10,6.514,0.05,1,a,4r8fa9xh0zzco6o,None,21
1,1,0.741,1,1,a,4r8fa9xh0zzco6o,None,22
3,5,1.341,1,1,a,4r8fa9xh0zzco6o,None,23
5,9,3.14,0.9,1,a,4r8fa9xh0zzco6o,None,24
4,7,2.245,1,1,a,4r8fa9xh0zzco6o,None,25
5,8,2.781,1,1,a,4r8fa9xh0zzco6o,None,26
1,1,0.752,1,1,a,4r8fa9xh0zzco6o,None,27
2,3,0.687,0.95,1,a,4r8fa9xh0zzco6o,None,28
4,7,2.607,1,1,a,4r8fa9xh0zzco6o,None,29
7,9,4.996,0.8,1,a,4r8fa9xh0zzco6o,None,30
1,1,0.632,1,1,a,4r8fa9xh0zzco6o,None,31
1,1,0.595,1,1,a,4r8fa9xh0zzco6o,None,32
3,4,1.317,0.95,1,a,4r8fa9xh0zzco6o,None,33
5,7,4.471,0.55,1,a,4r8fa9xh0zzco6o,None,34
3,5,1.48,1,1,a,4r8fa9xh0zzco6o,None,35
3,5,2.906,1,1,a,a9tn75magy8nffy,Query,1
2,3,1.171,0.8,1,a,a9tn75magy8nffy,Query,2
3,5,1.256,0.6,1,a,a9tn75magy8nffy,Query,3
7,11,10.725,1,1,a,a9tn75magy8nffy,Query,4
6,10,6.569,1,1,a,a9tn75magy8nffy,Query,5
4,6,2.545,0.6,1,a,a9tn75magy8nffy,Query,6
2,3,0.738,1,1,a,a9tn75magy8nffy,Query,7
4,6,1.979,0.8,1,a,a9tn75magy8nffy,Query,8
1,1,0.546,1,1,a,a9tn75magy8nffy,Query,9
3,4,1.969,0.4,1,a,a9tn75magy8nffy,Query,10
5,7,3.621,1,1,a,a9tn75magy8nffy,Query,11
3,4,1.731,1,1,a,a9tn75magy8nffy,Query,12
5,6,3.358,1,1,a,a9tn75magy8nffy,Query,13
6,7,4.506,0.6,1,a,a9tn75magy8nffy,Query,14
1,1,0.487,1,1,a,a9tn75magy8nffy,Query,15
2,3,0.809,1,1,a,a9tn75magy8nffy,Query,16
3,4,1.507,1,1,a,a9tn75magy8nffy,Query,17
5,6,3.542,1,1,a,a9tn75magy8nffy,Query,18
7,7,5.072,1,1,a,a9tn75magy8nffy,Query,19
1,1,0.564,1,1,a,a9tn75magy8nffy,Query,20
6,6,5.825,1,0,a,a9tn75magy8nffy,Query,21
1,1,0.616,1,1,a,a9tn75magy8nffy,Query,22
7,7,5.571,1,1,a,a9tn75magy8nffy,Query,23
2,2,0.707,1,1,a,a9tn75magy8nffy,Query,24
4,4,2.313,1,1,a,a9tn75magy8nffy,Query,25
4,5,2.327,0.8,1,a,a9tn75magy8nffy,Query,26
7,7,7.818,0.8,1,a,a9tn75magy8nffy,Query,27
5,5,2.674,0.4,1,a,a9tn75magy8nffy,Query,28
7,7,10.143,1,1,a,a9tn75magy8nffy,Query,29
6,7,4.984,1,1,a,a9tn75magy8nffy,Query,30
2,3,0.753,1,1,a,a9tn75magy8nffy,Query,31
6,7,4.705,1,1,a,a9tn75magy8nffy,Query,32
5,6,3.67,1,1,a,a9tn75magy8nffy,Query,33
4,5,3.423,1,1,a,a9tn75magy8nffy,Query,34
1,1,0.489,1,1,a,a9tn75magy8nffy,Query,35
2,3,1.301,1,1,fjc,a9tn75magy8nffy,Sequence,1
7,11,7.11,0.2,1,fjc,a9tn75magy8nffy,Sequence,2
3,5,2.343,1,1,fjc,a9tn75magy8nffy,Sequence,3
6,10,4.966,1,1,fjc,a9tn75magy8nffy,Sequence,4
5,9,4.306,1,1,fjc,a9tn75magy8nffy,Sequence,5
7,11,9.274,0,1,fjc,a9tn75magy8nffy,Sequence,6
3,5,1.573,0.8,1,fjc,a9tn75magy8nffy,Sequence,7
5,9,2.964,1,1,fjc,a9tn75magy8nffy,Sequence,8
1,1,0.513,1,1,fjc,a9tn75magy8nffy,Sequence,9
5,8,4.091,0.6,1,fjc,a9tn75magy8nffy,Sequence,10
1,1,0.564,1,1,fjc,a9tn75magy8nffy,Sequence,11
6,8,3.449,0.6,1,fjc,a9tn75magy8nffy,Sequence,12
6,8,5.842,1,1,fjc,a9tn75magy8nffy,Sequence,13
4,6,2.339,0.6,1,fjc,a9tn75magy8nffy,Sequence,14
1,1,0.675,1,1,fjc,a9tn75magy8nffy,Sequence,15
3,5,1.481,1,1,fjc,a9tn75magy8nffy,Sequence,16
1,1,0.604,1,1,fjc,a9tn75magy8nffy,Sequence,17
2,3,0.748,1,1,fjc,a9tn75magy8nffy,Sequence,18
7,9,10.963,0.2,1,fjc,a9tn75magy8nffy,Sequence,19
3,5,0.799,0.8,1,fjc,a9tn75magy8nffy,Sequence,20
2,3,0.616,1,1,fjc,a9tn75magy8nffy,Sequence,21
6,7,7.345,0,1,fjc,a9tn75magy8nffy,Sequence,22
3,5,1.806,0.8,1,fjc,a9tn75magy8nffy,Sequence,23
6,8,5.076,0,1,fjc,a9tn75magy8nffy,Sequence,24
1,1,0.519,1,1,fjc,a9tn75magy8nffy,Sequence,25
4,6,1.658,0.8,1,fjc,a9tn75magy8nffy,Sequence,26
5,7,3.217,0.4,1,fjc,a9tn75magy8nffy,Sequence,27
4,6,3.299,1,1,fjc,a9tn75magy8nffy,Sequence,28
7,9,8.371,0.6,1,fjc,a9tn75magy8nffy,Sequence,29
4,6,2.332,0.4,1,fjc,a9tn75magy8nffy,Sequence,30
2,3,0.818,1,1,fjc,a9tn75magy8nffy,Sequence,31
7,7,5.681,0,1,fjc,a9tn75magy8nffy,Sequence,32
4,7,1.775,0.8,1,fjc,a9tn75magy8nffy,Sequence,33
2,3,1.033,1,1,fjc,a9tn75magy8nffy,Sequence,34
5,9,6.075,0.6,1,fjc,a9tn75magy8nffy,Sequence,35
3,5,2.178,1,1,a,a9tn75magy8nffy,None,1
4,7,3.001,1,1,a,a9tn75magy8nffy,None,2
3,5,1.931,0.8,1,a,a9tn75magy8nffy,None,3
7,8,6.04,0,1,a,a9tn75magy8nffy,None,4
7,12,8.6,0.8,1,a,a9tn75magy8nffy,None,5
