NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
6,8,3.337,0.9285714285714286,1,a,q3rm4bg3z295hv5,Query,18
4,6,-1.002,1,1,a,q3rm4bg3z295hv5,Query,19
5,7,4.095,1,1,a,q3rm4bg3z295hv5,Query,20
1,1,-0.257,1,1,a,q3rm4bg3z295hv5,Query,21
6,7,9.998,0.8333333333333334,1,a,q3rm4bg3z295hv5,Query,22
1,1,0.157,1,1,a,q3rm4bg3z295hv5,Query,23
3,4,0.131,1,1,a,q3rm4bg3z295hv5,Query,24
7,8,3.161,0.8571428571428571,1,a,q3rm4bg3z295hv5,Query,25
4,4,-0.366,0.8333333333333334,1,a,q3rm4bg3z295hv5,Query,26
2,3,1.409,1,1,a,q3rm4bg3z295hv5,Query,27
6,6,6.473,1,1,a,q3rm4bg3z295hv5,Query,28
4,4,0.394,1,1,a,q3rm4bg3z295hv5,Query,29
2,2,1.602,1,1,a,q3rm4bg3z295hv5,Query,30
2,2,0.285,0.8461538461538461,1,a,q3rm4bg3z295hv5,Query,31
7,7,11.991,0.9090909090909091,1,a,q3rm4bg3z295hv5,Query,32
1,1,0.186,1,1,a,q3rm4bg3z295hv5,Query,33
7,7,-5.086,1,1,a,q3rm4bg3z295hv5,Query,34
6,6,-3.623,1,0,a,q3rm4bg3z295hv5,Query,35
2,3,-0.035,0.7925989672977625,0,a,y0g9hknjyys0m49,Query,1
6,11,0.001,0.6112920738327905,1,a,y0g9hknjyys0m49,Query,2
6,11,-3.157,0.7824156305506217,1,a,y0g9hknjyys0m49,Query,3
1,1,0.188,1,1,a,y0g9hknjyys0m49,Query,4
5,9,7.516,0.7343941248470012,1,a,y0g9hknjyys0m49,Query,5
5,9,-3.835,0.5333333333333333,1,a,y0g9hknjyys0m49,Query,6
4,7,3.9,0.65625,1,a,y0g9hknjyys0m49,Query,7
3,5,0.259,0.9142857142857143,1,a,y0g9hknjyys0m49,Query,8
7,13,4.694,0.7916666666666666,1,a,y0g9hknjyys0m49,Query,9
2,3,-1.861,0.9868421052631579,1,a,y0g9hknjyys0m49,Query,10
3,5,-1.42,1,1,a,y0g9hknjyys0m49,Query,11
7,13,-1.19,0.7364864864864865,1,a,y0g9hknjyys0m49,Query,12
4,7,0.669,0.8348623853211009,1,a,y0g9hknjyys0m49,Query,13
4,7,2.18,0.6153846153846154,1,a,y0g9hknjyys0m49,Query,14
2,3,-0.897,1,1,a,y0g9hknjyys0m49,Query,15
4,6,26.274,0.8148148148148148,1,a,y0g9hknjyys0m49,Query,16
2,3,0.184,1,1,a,y0g9hknjyys0m49,Query,17
7,9,5.431,0.9069767441860465,1,a,y0g9hknjyys0m49,Query,18
1,1,-0.347,1,1,a,y0g9hknjyys0m49,Query,19
1,1,-0.465,1,1,a,y0g9hknjyys0m49,Query,20
7,8,11.897,0.7837837837837838,1,a,y0g9hknjyys0m49,Query,21
7,8,1.947,0.7931034482758621,1,a,y0g9hknjyys0m49,Query,22
4,5,0.165,1,1,a,y0g9hknjyys0m49,Query,23
5,6,-0.556,0.8181818181818182,1,a,y0g9hknjyys0m49,Query,24
5,6,-27.576,0.9444444444444444,1,a,y0g9hknjyys0m49,Query,25
3,3,-0.185,0.9411764705882353,1,a,y0g9hknjyys0m49,Query,26
2,2,-0.351,1,1,a,y0g9hknjyys0m49,Query,27
6,6,14.16,0.7333333333333333,1,a,y0g9hknjyys0m49,Query,28
1,1,-0.271,1,1,a,y0g9hknjyys0m49,Query,29
6,6,-51.165,1,1,a,y0g9hknjyys0m49,Query,30
1,1,-0.148,1,1,a,y0g9hknjyys0m49,Query,31
3,3,5.883,1,1,a,y0g9hknjyys0m49,Query,32
6,6,-32.77,0.5714285714285714,1,a,y0g9hknjyys0m49,Query,33
5,5,-0.614,1,1,a,y0g9hknjyys0m49,Query,34
3,3,0.295,1,1,a,y0g9hknjyys0m49,Query,35
