subject,nStartParticles,particles_to_mutate,LL
rahonpod5yv68g4,10,4,127.05406289412859
rahonpod5yv68g4,10,5,126.96166728652956
rahonpod5yv68g4,15,1,125.65944655462152
rahonpod5yv68g4,15,2,125.94182437388386
rahonpod5yv68g4,15,3,126.42881319685176
rahonpod5yv68g4,15,4,127.10287967555189
rahonpod5yv68g4,15,5,125.71807703001367
rahonpod5yv68g4,15,10,127.08142356584585
rahonpod5yv68g4,20,1,125.448383762129
rahonpod5yv68g4,20,2,126.27476166574127
rahonpod5yv68g4,20,3,126.6416690731121
rahonpod5yv68g4,20,4,126.40678549828795
rahonpod5yv68g4,20,5,127.11583008710812
rahonpod5yv68g4,20,10,126.99499268523707
rahonpod5yv68g4,100,5,125.57259156689554
rahonpod5yv68g4,100,10,126.61813755957262
rahonpod5yv68g4,100,50,127.35410355612571
rahonpod5yv68g4,1000,50,125.48617097484855
rahonpod5yv68g4,1000,500,125.89680972921187
